"zip","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone"
"04286","44.4032","-70.86019","West Bethel","ME","Maine","TRUE","","0","0.0","23017","Oxford","{""23017"": 100}","Oxford","23017","FALSE","FALSE","America/New_York"
"04287","44.05812","-69.9694","Bowdoin","ME","Maine","TRUE","","3147","28.0","23023","Sagadahoc","{""23023"": 100}","Sagadahoc","23023","FALSE","FALSE","America/New_York"
"04289","44.32108","-70.53248","West Paris","ME","Maine","TRUE","","2017","31.5","23017","Oxford","{""23017"": 100}","Oxford","23017","FALSE","FALSE","America/New_York"
"04290","44.47354","-70.45058","Peru","ME","Maine","TRUE","","1590","13.2","23017","Oxford","{""23017"": 100}","Oxford","23017","FALSE","FALSE","America/New_York"
"04292","44.37461","-70.44674","Sumner","ME","Maine","TRUE","","1024","9.0","23017","Oxford","{""23017"": 100}","Oxford","23017","FALSE","FALSE","America/New_York"
"04294","44.62346","-70.27075","Wilton","ME","Maine","TRUE","","3954","28.6","23007","Franklin","{""23007"": 100}","Franklin","23007","FALSE","FALSE","America/New_York"
"04330","44.36387","-69.73729","Augusta","ME","Maine","TRUE","","26271","86.7","23011","Kennebec","{""23011"": 100}","Kennebec","23011","FALSE","FALSE","America/New_York"
"04341","44.25997","-69.55485","Coopers Mills","ME","Maine","TRUE","","30","356.2","23015","Lincoln","{""23015"": 100}","Lincoln","23015","FALSE","FALSE","America/New_York"
"04342","44.07942","-69.73939","Dresden","ME","Maine","TRUE","","1883","23.9","23015","Lincoln","{""23015"": 100}","Lincoln","23015","FALSE","FALSE","America/New_York"
"04344","44.2588","-69.82125","Farmingdale","ME","Maine","TRUE","","2987","102.6","23011","Kennebec","{""23011"": 100}","Kennebec","23011","FALSE","FALSE","America/New_York"
"04345","44.19816","-69.7841","Gardiner","ME","Maine","TRUE","","12163","65.5","23011","Kennebec","{""23011"": 100}","Kennebec","23011","FALSE","FALSE","America/New_York"
"04346","44.23469","-69.75068","Randolph","ME","Maine","TRUE","","1595","288.4","23011","Kennebec","{""23011"": 100}","Kennebec","23011","FALSE","FALSE","America/New_York"
"04347","44.29047","-69.81399","Hallowell","ME","Maine","TRUE","","2542","167.4","23011","Kennebec","{""23011"": 100}","Kennebec","23011","FALSE","FALSE","America/New_York"
"04348","44.21521","-69.49922","Jefferson","ME","Maine","TRUE","","3417","17.5","23015","Lincoln","{""23015"": 100}","Lincoln","23015","FALSE","FALSE","America/New_York"
"04349","44.43734","-70.07014","Kents Hill","ME","Maine","TRUE","","1274","16.9","23011","Kennebec","{""23011"": 100}","Kennebec","23011","FALSE","FALSE","America/New_York"
"04350","44.16266","-69.93942","Litchfield","ME","Maine","TRUE","","3587","37.0","23011","Kennebec","{""23011"": 100}","Kennebec","23011","FALSE","FALSE","America/New_York"
"04351","44.33174","-69.86082","Manchester","ME","Maine","TRUE","","2412","43.4","23011","Kennebec","{""23011"": 100}","Kennebec","23011","FALSE","FALSE","America/New_York"
